predicted,actual,correct,plate_x,plate_z,release_speed
Knuckle Curve,Knuckle Curve,True,0.3,-0.28,0.08
Slider,Slider,True,-0.0,-0.27,0.28
Knuckle Curve,Knuckle Curve,True,-0.4,0.02,0.06
4-Seam Fastball,4-Seam Fastball,True,0.26,0.38,0.73
Changeup,Changeup,True,-0.11,0.08,-0.47
4-Seam Fastball,4-Seam Fastball,True,0.36,-0.02,0.91
4-Seam Fastball,4-Seam Fastball,True,-0.08,0.52,0.85
Knuckle Curve,Sweeper,False,0.46,-0.26,-0.01
Slider,Slider,True,0.18,0.09,0.32
Knuckle Curve,Knuckle Curve,True,0.01,-0.39,-0.19
Changeup,Changeup,True,0.2,0.54,-0.49
Knuckle Curve,Knuckle Curve,True,-0.23,0.43,-0.1
Knuckle Curve,Knuckle Curve,True,-0.16,0.08,-0.16
Changeup,Changeup,True,0.28,0.56,-0.47
Changeup,Changeup,True,-0.24,0.11,0.15
4-Seam Fastball,4-Seam Fastball,True,0.22,0.08,0.8
4-Seam Fastball,4-Seam Fastball,True,-0.01,0.61,0.82
Changeup,Changeup,True,0.04,-0.66,-0.51
Slider,Slider,True,0.68,-0.28,0.28
4-Seam Fastball,4-Seam Fastball,True,0.52,0.01,0.91
Changeup,Changeup,True,-0.43,-0.23,0.09
4-Seam Fastball,4-Seam Fastball,True,-0.18,0.4,0.76
Knuckle Curve,Knuckle Curve,True,0.56,0.01,-0.02
4-Seam Fastball,4-Seam Fastball,True,-0.19,0.47,0.8
Slider,Slider,True,0.2,-0.11,0.22
Knuckle Curve,Knuckle Curve,True,0.01,-0.27,-0.03
Changeup,Changeup,True,0.14,0.16,-0.46
Slider,Slider,True,0.43,-0.7,0.16
Knuckle Curve,Sweeper,False,-0.06,-0.15,-0.04
Slider,Slider,True,-0.43,0.38,0.39
4-Seam Fastball,4-Seam Fastball,True,0.3,0.29,0.83
Slider,Slider,True,0.21,-0.09,0.21
4-Seam Fastball,4-Seam Fastball,True,0.56,-0.16,0.68
Knuckle Curve,Sweeper,False,0.15,0.37,0.09
Changeup,Changeup,True,-0.31,0.84,0.06
4-Seam Fastball,4-Seam Fastball,True,-0.32,0.6,0.82
Slider,Slider,True,-0.31,-0.01,0.39
Slider,Slider,True,0.28,0.03,0.45
4-Seam Fastball,4-Seam Fastball,True,0.17,0.36,0.83
