predicted,actual,correct,plate_x,plate_z,release_speed
Changeup,Changeup,True,-0.36,-0.22,0.12
4-Seam Fastball,4-Seam Fastball,True,-0.51,0.29,0.62
Slider,Slider,True,0.06,-0.15,-0.03
Slider,Slider,True,0.34,-0.49,0.14
Slider,Slider,True,0.09,-0.16,-0.11
4-Seam Fastball,4-Seam Fastball,True,0.5,0.02,0.66
4-Seam Fastball,4-Seam Fastball,True,0.42,-0.04,0.69
Curveball,Curveball,True,-0.03,-0.31,-0.66
Slider,Slider,True,0.3,0.03,0.01
Changeup,Changeup,True,-0.35,0.08,-0.16
Cutter,Cutter,True,-0.07,-0.24,0.2
Changeup,Changeup,True,-0.65,0.59,0.16
Slider,Slider,True,-0.23,0.49,-0.01
Slider,Slider,True,0.01,0.47,-0.14
Curveball,Curveball,True,-0.34,0.47,-0.61
4-Seam Fastball,Sinker,False,-0.48,0.24,0.73
4-Seam Fastball,4-Seam Fastball,True,0.19,-0.22,0.56
Changeup,Changeup,True,-0.28,0.19,0.01
Curveball,Curveball,True,-0.41,0.25,-0.46
Changeup,Changeup,True,-0.47,0.06,-0.04
Slider,Slider,True,0.17,-0.24,0.14
4-Seam Fastball,Sinker,False,-0.13,0.38,0.77
Slider,Slider,True,0.07,0.02,-0.04
4-Seam Fastball,4-Seam Fastball,True,0.04,0.57,0.62
Cutter,Cutter,True,0.08,-0.26,0.31
Changeup,Changeup,True,-0.36,0.37,-0.09
Cutter,Cutter,True,0.08,-0.39,0.34
Cutter,Cutter,True,0.29,-0.1,0.49
Curveball,Curveball,True,0.25,-0.67,-0.44
Changeup,Changeup,True,-0.24,-0.35,0.06
Slider,Slider,True,-0.05,-0.16,-0.06
Slider,Slider,True,0.39,-0.75,-0.14
4-Seam Fastball,4-Seam Fastball,True,-0.37,0.1,0.69
Changeup,Changeup,True,-0.58,0.04,-0.02
4-Seam Fastball,4-Seam Fastball,True,0.19,0.28,0.77
4-Seam Fastball,4-Seam Fastball,True,-0.23,0.46,0.51
Curveball,Curveball,True,0.18,-0.23,-0.71
Cutter,Cutter,True,0.2,-0.14,0.48
Cutter,Cutter,True,0.2,0.19,0.23
Curveball,Curveball,True,-0.62,0.32,-0.52
Curveball,Curveball,True,0.21,-0.26,-0.6
4-Seam Fastball,4-Seam Fastball,True,-0.22,0.57,0.58
Cutter,Cutter,True,-0.13,0.37,0.45
Changeup,Changeup,True,-0.53,-0.09,0.04
Changeup,Changeup,True,-0.5,0.39,-0.14
Changeup,Changeup,True,-0.21,0.07,0.03
Changeup,Changeup,True,0.3,-0.2,0.02
Cutter,Cutter,True,-0.04,0.16,0.37
4-Seam Fastball,4-Seam Fastball,True,0.1,0.34,0.75
Changeup,Changeup,True,-0.57,0.16,-0.04
4-Seam Fastball,4-Seam Fastball,True,0.2,-0.14,0.61
4-Seam Fastball,4-Seam Fastball,True,0.0,-0.2,0.72
Curveball,Curveball,True,-0.17,-0.27,-0.81
Curveball,Curveball,True,-0.38,0.23,-0.82
4-Seam Fastball,4-Seam Fastball,True,-0.59,0.98,0.65
Cutter,Cutter,True,-0.26,0.15,0.35
Curveball,Curveball,True,-0.96,0.89,-0.62
4-Seam Fastball,Sinker,False,-0.54,0.52,0.64
Changeup,Changeup,True,-0.85,0.35,-0.05
Changeup,Changeup,True,-0.02,-0.13,-0.14
Slider,Slider,True,0.16,-0.3,0.01
Slider,Slider,True,0.33,-0.05,0.08
Cutter,Cutter,True,0.13,-0.34,0.43
4-Seam Fastball,4-Seam Fastball,True,0.21,0.17,0.79
Changeup,Changeup,True,-0.08,-0.15,0.02
Slider,Slider,True,0.11,-0.26,-0.04
Slider,Slider,True,-0.35,0.35,-0.01
Changeup,Changeup,True,-0.18,-0.27,0.04
Cutter,Cutter,True,0.48,-0.05,0.3
Slider,Slider,True,0.13,0.16,-0.09
4-Seam Fastball,4-Seam Fastball,True,-0.24,0.86,0.8
4-Seam Fastball,4-Seam Fastball,True,-0.44,0.26,0.72
Slider,Slider,True,0.14,-0.22,0.14
Curveball,Curveball,True,0.16,-0.3,-0.59
4-Seam Fastball,Sinker,False,-0.37,0.15,0.6
Cutter,Cutter,True,0.15,-0.13,0.27
Slider,Slider,True,0.33,-0.37,-0.04
Slider,Cutter,False,0.33,-0.45,0.1
4-Seam Fastball,Sinker,False,0.47,-0.21,0.78
Curveball,Curveball,True,0.21,-0.14,-0.69
Curveball,Curveball,True,0.07,-0.05,-0.29
Changeup,Changeup,True,-0.12,-0.24,-0.12
4-Seam Fastball,4-Seam Fastball,True,-0.47,0.52,0.81
Slider,Slider,True,0.0,-0.03,-0.17
Cutter,Cutter,True,0.08,-0.13,0.44
Curveball,Curveball,True,-0.11,-0.27,-0.76
Changeup,Sinker,False,-0.34,-0.41,0.49
4-Seam Fastball,4-Seam Fastball,True,-0.28,0.43,0.64
Changeup,Changeup,True,0.29,-0.73,-0.11
4-Seam Fastball,Sinker,False,-0.48,0.29,0.82
4-Seam Fastball,Sinker,False,0.14,-0.17,0.87
Cutter,Cutter,True,0.09,-0.27,0.3
Changeup,Changeup,True,-0.32,-0.06,0.04
Slider,Slider,True,-0.09,-0.05,0.01
Slider,Slider,True,0.06,0.03,-0.09
Curveball,Curveball,True,-0.54,0.28,-0.69
Slider,Slider,True,0.25,-0.13,-0.02
Changeup,Changeup,True,-0.42,-0.06,-0.07
4-Seam Fastball,4-Seam Fastball,True,-0.32,0.34,0.72
Changeup,Changeup,True,-0.53,0.11,0.04
Changeup,Changeup,True,-0.47,-0.51,0.11
Cutter,Cutter,True,0.14,-0.28,0.54
4-Seam Fastball,4-Seam Fastball,True,-0.23,-0.27,0.75
4-Seam Fastball,4-Seam Fastball,True,0.37,-0.19,0.78
Curveball,Curveball,True,-0.52,0.26,-0.32
4-Seam Fastball,4-Seam Fastball,True,0.27,0.36,0.57
Slider,Slider,True,0.09,-0.28,0.07
4-Seam Fastball,4-Seam Fastball,True,-0.13,-0.1,0.63
Cutter,Cutter,True,-0.33,0.1,0.33
Slider,Slider,True,0.05,-0.31,-0.07
Cutter,Cutter,True,-0.05,-0.14,0.28
Slider,Slider,True,0.22,-0.04,0.16
Slider,Slider,True,0.25,-0.12,-0.04
Changeup,Changeup,True,-0.46,0.2,-0.22
Cutter,Cutter,True,-0.2,-0.06,0.48
4-Seam Fastball,4-Seam Fastball,True,0.15,-0.03,0.84
Changeup,Changeup,True,-0.7,0.14,0.04
Curveball,Curveball,True,-0.66,0.6,-0.75
4-Seam Fastball,Sinker,False,-0.02,0.0,0.82
Curveball,Curveball,True,0.26,-0.32,-0.43
Curveball,Curveball,True,0.24,-0.23,-0.44
Curveball,Curveball,True,0.24,-0.24,-0.53
4-Seam Fastball,4-Seam Fastball,True,-0.4,0.23,0.61
Slider,Slider,True,0.18,-0.24,-0.03
Cutter,Cutter,True,0.35,-0.09,0.61
Slider,Slider,True,0.16,-0.13,0.1
Cutter,Cutter,True,0.41,-0.06,0.34
4-Seam Fastball,Sinker,False,-0.57,0.08,0.78
Slider,Slider,True,0.2,-0.31,0.02
Curveball,Curveball,True,0.2,-0.03,-0.75
4-Seam Fastball,4-Seam Fastball,True,-0.6,0.57,0.75
Curveball,Curveball,True,-0.59,0.19,-0.86
Cutter,Cutter,True,-0.12,0.72,0.44
Changeup,Changeup,True,-0.33,-0.27,-0.03
4-Seam Fastball,4-Seam Fastball,True,-0.22,0.3,0.55
Slider,Slider,True,-0.16,-0.2,0.03
Cutter,Slider,False,-0.03,0.49,0.14
Curveball,Curveball,True,-0.41,0.08,-0.26
Cutter,Cutter,True,-0.1,-0.1,0.28
Slider,Slider,True,0.16,-0.14,0.13
Changeup,Changeup,True,-0.36,0.46,-0.1
Cutter,Cutter,True,0.35,0.17,0.46
Changeup,Changeup,True,-0.47,0.03,-0.07
4-Seam Fastball,Sinker,False,-0.4,0.48,0.84
Slider,Slider,True,-0.02,0.25,-0.01
Curveball,Curveball,True,-0.62,0.39,-0.73
Changeup,Changeup,True,0.1,-0.03,-0.22
Slider,Slider,True,0.18,-0.05,0.16
Slider,Slider,True,0.1,-0.33,-0.02
4-Seam Fastball,4-Seam Fastball,True,-0.4,-0.12,0.64
Curveball,Curveball,True,-0.14,-0.41,-0.85
Cutter,Cutter,True,0.19,-0.22,0.31
Changeup,Changeup,True,-0.42,0.34,-0.07
Curveball,Curveball,True,0.1,-0.23,-0.31
Cutter,Cutter,True,0.56,-0.31,0.5
Cutter,Cutter,True,0.14,-0.19,0.32
Curveball,Curveball,True,0.08,-0.11,-0.46
Changeup,Changeup,True,0.1,-0.36,0.16
Curveball,Curveball,True,0.12,-0.34,-0.69
Changeup,Changeup,True,-0.45,-0.28,0.05
4-Seam Fastball,4-Seam Fastball,True,-0.48,0.31,0.64
Slider,Slider,True,0.33,-0.64,-0.12
Cutter,Cutter,True,-0.03,0.36,0.4
4-Seam Fastball,4-Seam Fastball,True,0.23,0.35,0.78
4-Seam Fastball,4-Seam Fastball,True,-0.1,0.51,0.58
Changeup,Changeup,True,-0.56,0.32,-0.11
Slider,Slider,True,0.3,-0.38,-0.01
Slider,Slider,True,0.32,-0.24,-0.01
4-Seam Fastball,4-Seam Fastball,True,-0.1,0.81,0.75
Changeup,Changeup,True,0.15,-0.17,-0.02
Cutter,Cutter,True,0.25,-0.51,0.28
Curveball,Curveball,True,-0.15,0.48,-0.69
Cutter,Cutter,True,0.12,-0.17,0.4
Curveball,Curveball,True,0.31,-0.32,-0.78
4-Seam Fastball,4-Seam Fastball,True,-0.08,0.83,0.67
Cutter,Cutter,True,0.02,-0.28,0.37
Changeup,Changeup,True,0.21,-0.19,-0.22
Cutter,Cutter,True,0.42,-0.17,0.54
Changeup,Changeup,True,-0.57,0.23,-0.28
Changeup,Changeup,True,-0.18,-0.59,0.08
Slider,Slider,True,0.34,-0.08,-0.04
Changeup,Changeup,True,-0.13,0.1,-0.01
Cutter,Cutter,True,0.34,-0.06,0.5
4-Seam Fastball,4-Seam Fastball,True,-0.5,0.28,0.57
4-Seam Fastball,Sinker,False,-0.58,0.5,0.93
Changeup,Changeup,True,-0.13,-0.15,0.14
Slider,Slider,True,-0.03,-0.38,-0.16
Curveball,Curveball,True,0.41,-0.2,-0.57
Curveball,Curveball,True,-0.42,-0.49,-0.61
Curveball,Curveball,True,0.1,-0.73,-0.77
Changeup,Changeup,True,-0.45,0.62,-0.06
Changeup,Changeup,True,-0.42,-0.27,-0.06
Curveball,Curveball,True,0.38,-0.27,-0.72
Changeup,Changeup,True,-0.04,-0.24,-0.1
Cutter,Cutter,True,0.29,0.58,0.45
Slider,Slider,True,0.34,-0.3,-0.12
Changeup,Changeup,True,-0.46,-0.03,-0.01
Changeup,Changeup,True,-0.48,-0.15,-0.04
Curveball,Curveball,True,-0.29,-0.32,-0.57
4-Seam Fastball,4-Seam Fastball,True,0.18,0.47,0.74
Slider,Slider,True,0.1,0.05,0.13
Curveball,Curveball,True,-0.37,0.38,-0.63
Slider,Slider,True,-0.51,0.26,-0.03
Cutter,Cutter,True,-0.38,0.63,0.44
Cutter,Cutter,True,0.3,0.04,0.47
Changeup,Changeup,True,-0.18,0.03,0.05
Curveball,Curveball,True,-0.58,-0.16,-0.5
4-Seam Fastball,Sinker,False,0.33,0.12,0.64
Changeup,Changeup,True,-0.48,0.03,0.08
Changeup,Changeup,True,0.15,-0.2,0.12
4-Seam Fastball,4-Seam Fastball,True,-0.29,0.63,0.7
4-Seam Fastball,4-Seam Fastball,True,0.1,-0.32,0.76
Curveball,Curveball,True,0.1,-0.42,-0.55
4-Seam Fastball,4-Seam Fastball,True,-0.35,-0.08,0.75
Changeup,Changeup,True,-0.14,-0.31,0.14
Slider,Slider,True,0.25,-0.18,-0.02
Changeup,Changeup,True,-0.46,-0.29,-0.16
4-Seam Fastball,4-Seam Fastball,True,-0.59,0.41,0.53
4-Seam Fastball,Sinker,False,-0.22,0.28,0.76
Slider,Slider,True,0.2,-0.07,0.0
Curveball,Curveball,True,-0.37,0.31,-0.62
Slider,Slider,True,0.04,-0.33,-0.03
Cutter,Cutter,True,-0.11,0.57,0.29
Slider,Slider,True,0.36,-0.5,-0.11
Changeup,Changeup,True,-0.07,-0.35,0.01
Cutter,Cutter,True,0.47,-0.08,0.57
Cutter,Cutter,True,0.24,-0.26,0.42
Changeup,Changeup,True,-0.46,0.35,0.13
Slider,Slider,True,0.04,-0.15,-0.04
Cutter,Cutter,True,0.01,0.31,0.25
Cutter,Cutter,True,0.18,0.24,0.29
4-Seam Fastball,4-Seam Fastball,True,0.21,0.2,0.81
Slider,Slider,True,-0.41,0.58,-0.04
Changeup,Changeup,True,-0.66,-0.07,-0.04
Changeup,Changeup,True,0.05,-0.36,0.0
Changeup,Changeup,True,-0.6,0.18,-0.17
Curveball,Curveball,True,-0.42,0.21,-0.38
Cutter,Cutter,True,-0.19,0.55,0.49
Curveball,Curveball,True,-0.01,-0.18,-0.44
Cutter,Cutter,True,0.14,0.55,0.29
Slider,Slider,True,0.01,-0.15,0.06
Changeup,Changeup,True,-0.23,0.14,-0.13
4-Seam Fastball,4-Seam Fastball,True,-0.27,0.38,0.63
Cutter,Cutter,True,-0.03,0.63,0.4
Cutter,Cutter,True,0.09,0.47,0.38
Curveball,Curveball,True,-0.22,-0.2,-0.63
