predicted,actual,correct,plate_x,plate_z,release_speed
4-Seam Fastball,4-Seam Fastball,True,0.56,0.12,0.71
Curveball,Curveball,True,-0.47,-0.92,-0.24
Slider,Slider,True,-0.41,-0.14,0.16
4-Seam Fastball,4-Seam Fastball,True,-0.02,0.24,0.89
Slider,Slider,True,-0.34,-0.13,0.22
Slider,Slider,True,-0.3,-0.13,0.08
Curveball,Curveball,True,-0.07,-0.18,-0.43
4-Seam Fastball,4-Seam Fastball,True,-0.07,0.7,0.79
Curveball,Curveball,True,0.5,0.13,-0.86
Changeup,Changeup,True,0.33,-0.11,0.1
Curveball,Curveball,True,0.16,-0.15,-0.7
4-Seam Fastball,4-Seam Fastball,True,0.04,0.64,0.86
Curveball,Curveball,True,0.07,-0.13,-0.49
Slider,Slider,True,0.4,-0.04,0.21
Curveball,Curveball,True,0.2,-0.29,-0.48
Curveball,Curveball,True,0.25,-0.06,-0.51
Changeup,Changeup,True,0.3,0.14,-0.01
Changeup,Changeup,True,0.52,0.08,0.04
Slider,Slider,True,-0.22,-0.35,0.05
4-Seam Fastball,4-Seam Fastball,True,0.1,0.4,0.81
Changeup,Changeup,True,0.41,-0.02,-0.04
4-Seam Fastball,4-Seam Fastball,True,-0.2,0.57,0.54
Changeup,Changeup,True,0.42,-0.22,0.07
Slider,Slider,True,-0.36,-0.47,0.21
Changeup,Changeup,True,0.34,-0.16,0.04
4-Seam Fastball,4-Seam Fastball,True,0.54,0.24,0.8
Changeup,Changeup,True,0.57,0.04,-0.04
Slider,Slider,True,0.1,-0.09,0.18
4-Seam Fastball,4-Seam Fastball,True,-0.34,0.18,0.78
4-Seam Fastball,4-Seam Fastball,True,0.32,0.8,0.78
Changeup,Changeup,True,0.45,-0.08,-0.02
Curveball,Curveball,True,-0.32,-0.26,-0.29
Changeup,Changeup,True,-0.15,-0.06,0.02
Curveball,Curveball,True,-0.2,-0.5,-0.66
Slider,Slider,True,-0.72,-0.1,-0.02
Slider,Slider,True,-0.22,-0.16,-0.06
4-Seam Fastball,4-Seam Fastball,True,0.61,0.52,0.63
Changeup,Changeup,True,0.28,-0.02,-0.27
Changeup,Changeup,True,0.4,-0.01,-0.09
Curveball,Curveball,True,-0.23,-0.55,-0.38
4-Seam Fastball,4-Seam Fastball,True,0.37,0.47,0.7
Changeup,Changeup,True,0.48,0.27,-0.18
Changeup,Changeup,True,0.35,-0.15,-0.01
4-Seam Fastball,4-Seam Fastball,True,0.28,-0.17,0.64
4-Seam Fastball,4-Seam Fastball,True,0.51,0.72,0.71
Slider,Slider,True,-0.28,-0.08,0.21
